assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,2014,-102.0141,19.3888
176559269,176559262,Odontesthes hatcheri,4,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Possibly Extinct,,,,,,Conte-Grand et al. 2015,,,-66.48333333,-43.7
1971329,191154,Chirostoma humboldtianum,4,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Possibly Extinct, , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1948,-99.08194,19.27917
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1994,-99.79028,19.82806
47097611,191694,Allotoca catarinae,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,University Michigan, ,1969,-102.0834,19.3428
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Köck et al., ,2016,-103.8417,20.6897
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1957,-101.61917,19.54556
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1955,-101.4475,19.19083
176559269,176559262,Odontesthes hatcheri,1,1,1,"Cussac, V.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,,,,Conte-Grand et al. 2015,,,-69.41666667,-41.2
1971329,191154,Chirostoma humboldtianum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"", ,"",Eduardo Soto-Galera,PRESERVED_SPECIMEN,1985,-100.21836,19.99444
